Run	Fitness1	Solution1	Fitness2	Solution2
2	3.445730120150949	[0.56791,1.48163,-0.19541,0.83562,0.43764]	3.445730120150949	[0.56791,1.48163,-0.19541,0.83562,0.43764]
3	3.445730120150949	[0.56791,1.48163,-0.19541,0.83562,0.43764]	2.2824458827663756	[1.03428,-0.83508,-0.47624,-0.29955,-0.44587]
4	2.2824458827663756	[1.03428,-0.83508,-0.47624,-0.29955,-0.44587]	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]
5	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]
6	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]
7	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]
8	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]
9	2.153449706185561	[1.11121,0.45779,-0.57151,-0.22059,-0.57777]	1.013950411897182	[0.86796,-0.33482,-0.11763,0.17666,-0.32162]
10	1.013950411897182	[0.86796,-0.33482,-0.11763,0.17666,-0.32162]	0.3877376134783124	[0.25635,0.13622,0.25257,-0.40300,-0.27797]
11	0.3877376134783124	[0.25635,0.13622,0.25257,-0.40300,-0.27797]	0.3877376134783124	[0.25635,0.13622,0.25257,-0.40300,-0.27797]
12	0.3877376134783124	[0.25635,0.13622,0.25257,-0.40300,-0.27797]	0.3877376134783124	[0.25635,0.13622,0.25257,-0.40300,-0.27797]
13	0.3877376134783124	[0.25635,0.13622,0.25257,-0.40300,-0.27797]	0.3877376134783124	[0.25635,0.13622,0.25257,-0.40300,-0.27797]
14	0.3877376134783124	[0.25635,0.13622,0.25257,-0.40300,-0.27797]	0.2751949000013483	[-0.02238,-0.03956,0.39115,-0.25957,-0.22968]
15	0.2751949000013483	[-0.02238,-0.03956,0.39115,-0.25957,-0.22968]	0.06666532991042323	[0.05918,-0.03228,0.23145,0.06530,-0.06548]
16	0.06666532991042323	[0.05918,-0.03228,0.23145,0.06530,-0.06548]	0.06666532991042323	[0.05918,-0.03228,0.23145,0.06530,-0.06548]
17	0.06666532991042323	[0.05918,-0.03228,0.23145,0.06530,-0.06548]	0.033870037559766	[0.02765,-0.03853,0.10145,0.14047,-0.03997]
18	0.033870037559766	[0.02765,-0.03853,0.10145,0.14047,-0.03997]	0.024266181404173234	[0.01952,-0.07064,-0.05258,0.11233,-0.05927]
