Run	Fitness1	Solution1	Fitness2	Solution2
1	1.1552779358949358e+01	[-1.045813825038705,2.0939076657749984,-0.14660343318318558]	5.1468373688750830e+00	[0.948071598446977,-1.1121898110992783,-0.02248768556212996]
1	5.1468373688750830e+00	[0.948071598446977,-1.1121898110992783,-0.02248768556212996]	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]
1	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]
1	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]
1	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]
1	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]
1	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]
1	3.1249831235687395e+00	[-0.04441477138742875,1.0884086598165232,0.015550963712687604]	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]
1	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]
1	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]
1	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]
1	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]
1	2.5340998698633825e+00	[-0.023838370350965032,0.011544753376153905,0.11217162020932903]	2.2217447930563594e+00	[-0.06231825330143967,0.9606038070642722,0.034370184689680644]
1	2.2217447930563594e+00	[-0.06231825330143967,0.9606038070642722,0.034370184689680644]	2.2217447930563594e+00	[-0.06231825330143967,0.9606038070642722,0.034370184689680644]
1	2.2217447930563594e+00	[-0.06231825330143967,0.9606038070642722,0.034370184689680644]	2.1680311772586194e+00	[-0.038046947701250174,1.0316053715658071,0.056259825219822444]
1	2.1680311772586194e+00	[-0.038046947701250174,1.0316053715658071,0.056259825219822444]	1.9461250500443299e+00	[-0.04182776851152608,1.0304038173174461,0.04256783967998433]
1	1.9461250500443299e+00	[-0.04182776851152608,1.0304038173174461,0.04256783967998433]	1.3778770374742422e+00	[-0.00231088347570485,1.0199476624577863,0.03614485792668295]
1	1.3778770374742422e+00	[-0.00231088347570485,1.0199476624577863,0.03614485792668295]	1.2754480508637229e+00	[0.012977850287919819,1.0050909950178797,0.03386935052595033]
1	1.2754480508637229e+00	[0.012977850287919819,1.0050909950178797,0.03386935052595033]	1.2754480508637229e+00	[0.012977850287919819,1.0050909950178797,0.03386935052595033]
1	1.2754480508637229e+00	[0.012977850287919819,1.0050909950178797,0.03386935052595033]	1.2754480508637229e+00	[0.012977850287919819,1.0050909950178797,0.03386935052595033]
1	1.2754480508637229e+00	[0.012977850287919819,1.0050909950178797,0.03386935052595033]	1.2754480508637229e+00	[0.012977850287919819,1.0050909950178797,0.03386935052595033]
1	1.2754480508637229e+00	[0.012977850287919819,1.0050909950178797,0.03386935052595033]	1.1219665679753348e+00	[0.01553943746437077,1.0025463404759805,0.018485686871299045]
1	1.1219665679753348e+00	[0.01553943746437077,1.0025463404759805,0.018485686871299045]	1.0423537986994091e+00	[0.013709734541299038,1.002099916901106,-0.00025526635332180636]
1	1.0423537986994091e+00	[0.013709734541299038,1.002099916901106,-0.00025526635332180636]	1.0423537986994091e+00	[0.013709734541299038,1.002099916901106,-0.00025526635332180636]
1	1.0423537986994091e+00	[0.013709734541299038,1.002099916901106,-0.00025526635332180636]	1.0423537986994091e+00	[0.013709734541299038,1.002099916901106,-0.00025526635332180636]
1	1.0423537986994091e+00	[0.013709734541299038,1.002099916901106,-0.00025526635332180636]	1.0054096108273924e+00	[0.006979387412896888,0.9963111139356973,-0.001464159849688014]
1	1.0054096108273924e+00	[0.006979387412896888,0.9963111139356973,-0.001464159849688014]	9.9652130394226646e-01	[0.0002973104235479765,0.9940096662120597,0.0026241695036859688]
1	9.9652130394226646e-01	[0.0002973104235479765,0.9940096662120597,0.0026241695036859688]	9.9652130394226646e-01	[0.0002973104235479765,0.9940096662120597,0.0026241695036859688]
1	9.9652130394226646e-01	[0.0002973104235479765,0.9940096662120597,0.0026241695036859688]	9.9652130394226646e-01	[0.0002973104235479765,0.9940096662120597,0.0026241695036859688]
1	9.9652130394226646e-01	[0.0002973104235479765,0.9940096662120597,0.0026241695036859688]	9.9589230442065357e-01	[-0.0014839301930050612,0.9955225599745611,0.0014778960284205242]
1	9.9589230442065357e-01	[-0.0014839301930050612,0.9955225599745611,0.0014778960284205242]	9.9584973186359349e-01	[-0.0012893593092769117,0.9939542701130833,0.0013486508651279123]
1	9.9584973186359349e-01	[-0.0012893593092769117,0.9939542701130833,0.0013486508651279123]	9.9583699127784797e-01	[-0.001711995149920818,0.9946006739565185,0.0011688814449819236]
1	9.9583699127784797e-01	[-0.001711995149920818,0.9946006739565185,0.0011688814449819236]	9.9583699127784797e-01	[-0.001711995149920818,0.9946006739565185,0.0011688814449819236]
1	9.9583699127784797e-01	[-0.001711995149920818,0.9946006739565185,0.0011688814449819236]	9.9583699127784797e-01	[-0.001711995149920818,0.9946006739565185,0.0011688814449819236]
1	9.9583699127784797e-01	[-0.001711995149920818,0.9946006739565185,0.0011688814449819236]	9.9583699127784797e-01	[-0.001711995149920818,0.9946006739565185,0.0011688814449819236]
1	9.9583699127784797e-01	[-0.001711995149920818,0.9946006739565185,0.0011688814449819236]	9.9581880800234046e-01	[-0.0017146383402357039,0.9947572601102262,0.0011632335353248522]
1	9.9581880800234046e-01	[-0.0017146383402357039,0.9947572601102262,0.0011632335353248522]	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]
1	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]
1	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]
1	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]
1	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]
1	9.9510828515728278e-01	[0.00037164378997443705,0.9952889027956378,0.0007106661696109949]	9.9500340800590337e-01	[1.405491628863405e-05,0.9948818612984281,0.0004663290672346241]
1	9.9500340800590337e-01	[1.405491628863405e-05,0.9948818612984281,0.0004663290672346241]	9.9498395354678948e-01	[7.019142969777979e-06,0.9946446200663179,0.00016396994169559284]
1	9.9498395354678948e-01	[7.019142969777979e-06,0.9946446200663179,0.00016396994169559284]	9.9497402872559348e-01	[-0.00024752005370962533,0.9948465859683842,-4.061380576015142e-05]
1	9.9497402872559348e-01	[-0.00024752005370962533,0.9948465859683842,-4.061380576015142e-05]	9.9496540029720393e-01	[-0.00014918633626501626,0.9949850421525406,9.497187515662871e-05]
1	9.9496540029720393e-01	[-0.00014918633626501626,0.9949850421525406,9.497187515662871e-05]	9.9496540029720393e-01	[-0.00014918633626501626,0.9949850421525406,9.497187515662871e-05]
1	9.9496540029720393e-01	[-0.00014918633626501626,0.9949850421525406,9.497187515662871e-05]	9.9496180393160927e-01	[-4.118717324405808e-05,0.9949557307759676,0.0001101847308113622]
1	9.9496180393160927e-01	[-4.118717324405808e-05,0.9949557307759676,0.0001101847308113622]	9.9495955327686403e-01	[2.539018108491754e-06,0.9950002291462674,-2.7669201042964058e-05]
1	9.9495955327686403e-01	[2.539018108491754e-06,0.9950002291462674,-2.7669201042964058e-05]	9.9495955327686403e-01	[2.539018108491754e-06,0.9950002291462674,-2.7669201042964058e-05]
1	9.9495955327686403e-01	[2.539018108491754e-06,0.9950002291462674,-2.7669201042964058e-05]	9.9495955327686403e-01	[2.539018108491754e-06,0.9950002291462674,-2.7669201042964058e-05]
1	9.9495955327686403e-01	[2.539018108491754e-06,0.9950002291462674,-2.7669201042964058e-05]	9.9495955327686403e-01	[2.539018108491754e-06,0.9950002291462674,-2.7669201042964058e-05]
1	9.9495955327686403e-01	[2.539018108491754e-06,0.9950002291462674,-2.7669201042964058e-05]	9.9495945998271651e-01	[-1.2193079133178617e-05,0.9949999083307433,1.340444227801465e-05]
1	9.9495945998271651e-01	[-1.2193079133178617e-05,0.9949999083307433,1.340444227801465e-05]	9.9495941752506667e-01	[-1.9769570250652383e-05,0.9949773930346173,3.277712207483395e-05]
1	9.9495941752506667e-01	[-1.9769570250652383e-05,0.9949773930346173,3.277712207483395e-05]	9.9495941752506667e-01	[-1.9769570250652383e-05,0.9949773930346173,3.277712207483395e-05]
1	9.9495941752506667e-01	[-1.9769570250652383e-05,0.9949773930346173,3.277712207483395e-05]	9.9495914456892720e-01	[-1.0472500312588888e-05,0.9949679828742906,-1.5619222013158997e-05]
1	9.9495914456892720e-01	[-1.0472500312588888e-05,0.9949679828742906,-1.5619222013158997e-05]	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]
1	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]
1	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]
1	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]
1	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]
1	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]
1	9.9495910102779561e-01	[2.284862791861736e-06,0.994952807891983,-1.3500487747927384e-05]	9.9495908198305472e-01	[4.685110517489025e-06,0.9949551587351353,-9.560876320999264e-06]
1	9.9495908198305472e-01	[4.685110517489025e-06,0.9949551587351353,-9.560876320999264e-06]	9.9495906840937920e-01	[1.612432527083112e-06,0.9949625507465624,-6.255749627686692e-06]
1	9.9495906840937920e-01	[1.612432527083112e-06,0.9949625507465624,-6.255749627686692e-06]	9.9495906840937920e-01	[1.612432527083112e-06,0.9949625507465624,-6.255749627686692e-06]
1	9.9495906840937920e-01	[1.612432527083112e-06,0.9949625507465624,-6.255749627686692e-06]	9.9495906840937920e-01	[1.612432527083112e-06,0.9949625507465624,-6.255749627686692e-06]
1	9.9495906840937920e-01	[1.612432527083112e-06,0.9949625507465624,-6.255749627686692e-06]	9.9495906840937920e-01	[1.612432527083112e-06,0.9949625507465624,-6.255749627686692e-06]
1	9.9495906840937920e-01	[1.612432527083112e-06,0.9949625507465624,-6.255749627686692e-06]	9.9495906052862182e-01	[1.6879002223274504e-06,0.9949621639799374,-1.4276078061307229e-06]
1	9.9495906052862182e-01	[1.6879002223274504e-06,0.9949621639799374,-1.4276078061307229e-06]	9.9495905804943874e-01	[2.066734932050748e-06,0.994959329585652,-2.6372772620025606e-07]
1	9.9495905804943874e-01	[2.066734932050748e-06,0.994959329585652,-2.6372772620025606e-07]	9.9495905804943874e-01	[2.066734932050748e-06,0.994959329585652,-2.6372772620025606e-07]
1	9.9495905804943874e-01	[2.066734932050748e-06,0.994959329585652,-2.6372772620025606e-07]	9.9495905783664540e-01	[4.985626865818864e-07,0.9949603667884336,-7.140660825312176e-07]
1	9.9495905783664540e-01	[4.985626865818864e-07,0.9949603667884336,-7.140660825312176e-07]	9.9495905737475709e-01	[5.276805579015365e-07,0.9949593367810332,-8.07320566819064e-07]
1	9.9495905737475709e-01	[5.276805579015365e-07,0.9949593367810332,-8.07320566819064e-07]	9.9495905732389289e-01	[6.985713860702908e-07,0.9949583587341805,-7.723951316635241e-07]
1	9.9495905732389289e-01	[6.985713860702908e-07,0.9949583587341805,-7.723951316635241e-07]	9.9495905732389289e-01	[6.985713860702908e-07,0.9949583587341805,-7.723951316635241e-07]
1	9.9495905732389289e-01	[6.985713860702908e-07,0.9949583587341805,-7.723951316635241e-07]	9.9495905732389289e-01	[6.985713860702908e-07,0.9949583587341805,-7.723951316635241e-07]
1	9.9495905732389289e-01	[6.985713860702908e-07,0.9949583587341805,-7.723951316635241e-07]	9.9495905726117684e-01	[2.453316544186935e-07,0.9949577604762903,-1.303687647600966e-07]
1	9.9495905726117684e-01	[2.453316544186935e-07,0.9949577604762903,-1.303687647600966e-07]	9.9495905720707967e-01	[-6.133575554206124e-07,0.9949582085357856,-1.1538516343446316e-07]
1	9.9495905720707967e-01	[-6.133575554206124e-07,0.9949582085357856,-1.1538516343446316e-07]	9.9495905720707967e-01	[-6.133575554206124e-07,0.9949582085357856,-1.1538516343446316e-07]
1	9.9495905720707967e-01	[-6.133575554206124e-07,0.9949582085357856,-1.1538516343446316e-07]	9.9495905720707967e-01	[-6.133575554206124e-07,0.9949582085357856,-1.1538516343446316e-07]
1	9.9495905720707967e-01	[-6.133575554206124e-07,0.9949582085357856,-1.1538516343446316e-07]	9.9495905720620215e-01	[-5.562072674191196e-07,0.9949581314589658,-6.036631438543856e-08]
1	9.9495905720620215e-01	[-5.562072674191196e-07,0.9949581314589658,-6.036631438543856e-08]	9.9495905720620215e-01	[-5.562072674191196e-07,0.9949581314589658,-6.036631438543856e-08]
1	9.9495905720620215e-01	[-5.562072674191196e-07,0.9949581314589658,-6.036631438543856e-08]	9.9495905720620215e-01	[-5.562072674191196e-07,0.9949581314589658,-6.036631438543856e-08]
1	9.9495905720620215e-01	[-5.562072674191196e-07,0.9949581314589658,-6.036631438543856e-08]	9.9495905716583977e-01	[-1.765592655132849e-07,0.9949580674963143,9.789489530439051e-08]
1	9.9495905716583977e-01	[-1.765592655132849e-07,0.9949580674963143,9.789489530439051e-08]	9.9495905715381383e-01	[-4.226874178422927e-08,0.9949580946055184,9.230217568775724e-08]
1	9.9495905715381383e-01	[-4.226874178422927e-08,0.9949580946055184,9.230217568775724e-08]	9.9495905713266808e-01	[-2.9577778475729137e-07,0.9949583146631023,8.202871673302136e-08]
1	9.9495905713266808e-01	[-2.9577778475729137e-07,0.9949583146631023,8.202871673302136e-08]	9.9495905713266808e-01	[-2.9577778475729137e-07,0.9949583146631023,8.202871673302136e-08]
1	9.9495905713266808e-01	[-2.9577778475729137e-07,0.9949583146631023,8.202871673302136e-08]	9.9495905712239008e-01	[-3.4255840327333186e-07,0.9949584709128213,-3.893889779230628e-08]
1	9.9495905712239008e-01	[-3.4255840327333186e-07,0.9949584709128213,-3.893889779230628e-08]	9.9495905710252330e-01	[-1.7615302256573905e-07,0.99495861811907,1.2297017638026821e-07]
1	9.9495905710252330e-01	[-1.7615302256573905e-07,0.99495861811907,1.2297017638026821e-07]	9.9495905709458299e-01	[-3.755491924114548e-08,0.9949586936891406,-4.442677253753771e-08]
1	9.9495905709458299e-01	[-3.755491924114548e-08,0.9949586936891406,-4.442677253753771e-08]	9.9495905709458299e-01	[-3.755491924114548e-08,0.9949586936891406,-4.442677253753771e-08]
1	9.9495905709458299e-01	[-3.755491924114548e-08,0.9949586936891406,-4.442677253753771e-08]	9.9495905709452614e-01	[6.471253505792886e-08,0.9949586614345097,-3.823714711964719e-08]
1	9.9495905709452614e-01	[6.471253505792886e-08,0.9949586614345097,-3.823714711964719e-08]	9.9495905709368060e-01	[1.0587084497877815e-08,0.9949586663717923,-3.235457599915423e-08]
1	9.9495905709368060e-01	[1.0587084497877815e-08,0.9949586663717923,-3.235457599915423e-08]	9.9495905709368060e-01	[1.0587084497877815e-08,0.9949586663717923,-3.235457599915423e-08]
1	9.9495905709368060e-01	[1.0587084497877815e-08,0.9949586663717923,-3.235457599915423e-08]	9.9495905709368060e-01	[1.0587084497877815e-08,0.9949586663717923,-3.235457599915423e-08]
1	9.9495905709368060e-01	[1.0587084497877815e-08,0.9949586663717923,-3.235457599915423e-08]	9.9495905709367349e-01	[-1.719574749236805e-08,0.9949586632207286,-3.106611598262891e-08]
1	9.9495905709367349e-01	[-1.719574749236805e-08,0.9949586632207286,-3.106611598262891e-08]	9.9495905709358823e-01	[-8.134664797549681e-10,0.9949586591753797,-3.2278809308545644e-08]
1	9.9495905709358823e-01	[-8.134664797549681e-10,0.9949586591753797,-3.2278809308545644e-08]	9.9495905709351362e-01	[-2.106558530952491e-08,0.9949586577859647,-1.6461959343908706e-08]
1	9.9495905709351362e-01	[-2.106558530952491e-08,0.9949586577859647,-1.6461959343908706e-08]	9.9495905709336796e-01	[-9.198499817833162e-09,0.9949586551273283,-1.3531287865477671e-09]
1	9.9495905709336796e-01	[-9.198499817833162e-09,0.9949586551273283,-1.3531287865477671e-09]	9.9495905709336796e-01	[-9.198499817833162e-09,0.9949586551273283,-1.3531287865477671e-09]
