Run	Fitness1	Solution1	Fitness2	Solution2
1	0.0000000000012240	[-0.00000081230728450,0.00000074183805253,-0.00000011767818132]	0.0000000000008750	[-0.00000019997561307,0.00000019063490491,0.00000089368511214]
1	0.0000000000008750	[-0.00000019997561307,0.00000019063490491,0.00000089368511214]	0.0000000000005405	[0.00000030577563647,0.00000041587567767,0.00000052350468189]
1	0.0000000000005405	[0.00000030577563647,0.00000041587567767,0.00000052350468189]	0.0000000000015361	[-0.00000001950763753,0.00000102995310719,0.00000068910838066]
1	0.0000000000015361	[-0.00000001950763753,0.00000102995310719,0.00000068910838066]	0.0000000000008370	[-0.00000044140222592,0.00000080010732896,0.00000004454965697]
1	0.0000000000008370	[-0.00000044140222592,0.00000080010732896,0.00000004454965697]	0.0000000000012952	[0.00000072767022485,0.00000061212290194,-0.00000062526212381]
1	0.0000000000012952	[0.00000072767022485,0.00000061212290194,-0.00000062526212381]	0.0000000000008594	[0.00000082880014014,0.00000012339453399,-0.00000039655467123]
1	0.0000000000008594	[0.00000082880014014,0.00000012339453399,-0.00000039655467123]	0.0000000000007731	[0.00000070247255726,-0.00000046412820760,-0.00000025335095920]
1	0.0000000000007731	[0.00000070247255726,-0.00000046412820760,-0.00000025335095920]	0.0000000000002419	[0.00000015164550213,0.00000043351567150,-0.00000017593776944]
1	0.0000000000002419	[0.00000015164550213,0.00000043351567150,-0.00000017593776944]	0.0000000000003257	[-0.00000011954081522,0.00000047591471704,-0.00000029137756314]
1	0.0000000000003257	[-0.00000011954081522,0.00000047591471704,-0.00000029137756314]	0.0000000000001629	[-0.00000026199615984,0.00000004928402020,0.00000030301725548]
2	0.0000000000004872	[-0.00000062048645211,0.00000016440265100,0.00000027414918436]	0.0000000000010945	[0.00000064397703401,0.00000079974641578,0.00000020042206743]
2	0.0000000000010945	[0.00000064397703401,0.00000079974641578,0.00000020042206743]	0.0000000000001623	[-0.00000015018098094,-0.00000034006353914,-0.00000015509115523]
2	0.0000000000001623	[-0.00000015018098094,-0.00000034006353914,-0.00000015509115523]	0.0000000000007555	[0.00000020510970827,0.00000030494061965,-0.00000078770289363]
2	0.0000000000007555	[0.00000020510970827,0.00000030494061965,-0.00000078770289363]	0.0000000000002236	[-0.00000027887546062,0.00000012878876092,0.00000035948379298]
