Run	Fitness1	Solution1	Fitness2	Solution2
1	0.000000	[47.546336,51.877050,50.152936]	0.000000	[47.674669,48.297383,42.672675]
1	0.000000	[47.674669,48.297383,42.672675]	0.000000	[46.404584,43.236126,46.773896]
1	0.000000	[46.404584,43.236126,46.773896]	0.000000	[42.355206,45.751098,47.456095]
1	0.000000	[42.355206,45.751098,47.456095]	0.000000	[46.206761,47.552410,48.662237]
1	0.000000	[46.206761,47.552410,48.662237]	0.000000	[45.643778,51.998602,48.864270]
1	0.000000	[45.643778,51.998602,48.864270]	0.000000	[49.479045,47.675290,50.329922]
1	0.000000	[49.479045,47.675290,50.329922]	0.000000	[47.315242,49.525131,46.586649]
1	0.000000	[47.315242,49.525131,46.586649]	0.000000	[48.559240,52.596263,49.954563]
1	0.000000	[48.559240,52.596263,49.954563]	0.000000	[43.520469,46.364125,48.554759]
1	0.000000	[43.520469,46.364125,48.554759]	0.000000	[43.545720,45.526213,48.059271]
1	0.000000	[43.545720,45.526213,48.059271]	0.000000	[43.873183,49.366268,45.300436]
1	0.000000	[43.873183,49.366268,45.300436]	0.000000	[44.436392,50.379902,45.931882]
1	0.000000	[44.436392,50.379902,45.931882]	0.000000	[49.147363,51.494660,43.296022]
1	0.000000	[49.147363,51.494660,43.296022]	0.000000	[49.684824,45.497122,50.031785]
1	0.000000	[49.684824,45.497122,50.031785]	0.000000	[50.935875,48.099758,48.042168]
1	0.000000	[50.935875,48.099758,48.042168]	0.000000	[42.066642,48.304057,47.274815]
1	0.000000	[42.066642,48.304057,47.274815]	0.000000	[45.585370,48.830252,47.267253]
1	0.000000	[45.585370,48.830252,47.267253]	0.000000	[52.985957,48.049979,45.216766]
1	0.000000	[52.985957,48.049979,45.216766]	0.000000	[47.285175,49.784816,50.771943]
1	0.000000	[47.285175,49.784816,50.771943]	0.000000	[45.969581,42.726255,49.003218]
2	0.000000	[46.824435,41.681759,49.394689]	0.000000	[49.208074,46.653666,47.736303]
2	0.000000	[49.208074,46.653666,47.736303]	0.000000	[48.756159,46.397344,51.240383]
2	0.000000	[48.756159,46.397344,51.240383]	0.000000	[48.359418,48.078072,45.347810]
2	0.000000	[48.359418,48.078072,45.347810]	0.000000	[45.300154,45.393495,47.963504]
2	0.000000	[45.300154,45.393495,47.963504]	0.000000	[49.595275,50.317523,45.904404]
2	0.000000	[49.595275,50.317523,45.904404]	0.000000	[47.815273,43.720838,46.364017]
2	0.000000	[47.815273,43.720838,46.364017]	0.000000	[45.295747,48.869999,44.090231]
2	0.000000	[45.295747,48.869999,44.090231]	0.000000	[45.932983,44.323100,45.755900]
2	0.000000	[45.932983,44.323100,45.755900]	0.000000	[43.466134,48.516163,51.429181]
2	0.000000	[43.466134,48.516163,51.429181]	0.000000	[41.046013,46.877716,47.478514]
2	0.000000	[41.046013,46.877716,47.478514]	0.000000	[44.989885,45.606414,45.056908]
2	0.000000	[44.989885,45.606414,45.056908]	0.000000	[44.158565,46.618626,49.163741]
