Run	Fitness1	Solution1	Fitness2	Solution2
1	2.8547446598980969e+02	[-3.008234456911407,-15.682608274996078,5.520940964644083]	2.8547446598980969e+02	[-3.008234456911407,-15.682608274996078,5.520940964644083]
1	2.8547446598980969e+02	[-3.008234456911407,-15.682608274996078,5.520940964644083]	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]
1	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]
1	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]
1	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]
1	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]
1	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]
1	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]
1	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]
1	1.4478288238664049e+01	[2.4278516644925725,0.7004204416747513,-2.8448612863844245]	7.6361468318128169e+00	[-2.012533586297086,-1.830329854076147,-0.4855388976349855]
1	7.6361468318128169e+00	[-2.012533586297086,-1.830329854076147,-0.4855388976349855]	2.5186846889193117e+00	[-0.603729794424412,0.544434211077897,-1.3630063881183965]
1	2.5186846889193117e+00	[-0.603729794424412,0.544434211077897,-1.3630063881183965]	2.5186846889193117e+00	[-0.603729794424412,0.544434211077897,-1.3630063881183965]
1	2.5186846889193117e+00	[-0.603729794424412,0.544434211077897,-1.3630063881183965]	2.5186846889193117e+00	[-0.603729794424412,0.544434211077897,-1.3630063881183965]
1	2.5186846889193117e+00	[-0.603729794424412,0.544434211077897,-1.3630063881183965]	2.4931529717736822e+00	[1.280527853949225,0.8496915735049517,0.3625267120483038]
1	2.4931529717736822e+00	[1.280527853949225,0.8496915735049517,0.3625267120483038]	2.4931529717736822e+00	[1.280527853949225,0.8496915735049517,0.3625267120483038]
1	2.4931529717736822e+00	[1.280527853949225,0.8496915735049517,0.3625267120483038]	2.4931529717736822e+00	[1.280527853949225,0.8496915735049517,0.3625267120483038]
1	2.4931529717736822e+00	[1.280527853949225,0.8496915735049517,0.3625267120483038]	7.2871574487576596e-01	[-0.30024116817296775,-0.17600408440231896,0.7794828722195242]
1	7.2871574487576596e-01	[-0.30024116817296775,-0.17600408440231896,0.7794828722195242]	7.2871574487576596e-01	[-0.30024116817296775,-0.17600408440231896,0.7794828722195242]
1	7.2871574487576596e-01	[-0.30024116817296775,-0.17600408440231896,0.7794828722195242]	7.2871574487576596e-01	[-0.30024116817296775,-0.17600408440231896,0.7794828722195242]
1	7.2871574487576596e-01	[-0.30024116817296775,-0.17600408440231896,0.7794828722195242]	7.2871574487576596e-01	[-0.30024116817296775,-0.17600408440231896,0.7794828722195242]
1	7.2871574487576596e-01	[-0.30024116817296775,-0.17600408440231896,0.7794828722195242]	6.7703213937183315e-01	[-0.44310720262336145,0.5837391919255095,0.37408114382481994]
1	6.7703213937183315e-01	[-0.44310720262336145,0.5837391919255095,0.37408114382481994]	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]
1	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]
1	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]
1	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]
1	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]
1	2.4556017048788514e-01	[0.36062594989242414,-0.1793668409280223,-0.2886808464854804]	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]
1	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]
1	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]
1	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]
1	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]
1	2.0828684355118719e-02	[-0.11734223986171113,-0.07022519257195803,0.04612922530876473]	1.2206523811717909e-02	[-0.08197685498699529,-0.06939221765441744,0.02590442408471977]
1	1.2206523811717909e-02	[-0.08197685498699529,-0.06939221765441744,0.02590442408471977]	1.2206523811717909e-02	[-0.08197685498699529,-0.06939221765441744,0.02590442408471977]
1	1.2206523811717909e-02	[-0.08197685498699529,-0.06939221765441744,0.02590442408471977]	1.2206523811717909e-02	[-0.08197685498699529,-0.06939221765441744,0.02590442408471977]
1	1.2206523811717909e-02	[-0.08197685498699529,-0.06939221765441744,0.02590442408471977]	5.0887832631958231e-03	[0.06297488603330148,0.026111271548544354,-0.021003535188312737]
1	5.0887832631958231e-03	[0.06297488603330148,0.026111271548544354,-0.021003535188312737]	5.0887832631958231e-03	[0.06297488603330148,0.026111271548544354,-0.021003535188312737]
1	5.0887832631958231e-03	[0.06297488603330148,0.026111271548544354,-0.021003535188312737]	5.0411911866995182e-03	[-0.06534563179091807,0.025506425535755883,0.010980065980412679]
1	5.0411911866995182e-03	[-0.06534563179091807,0.025506425535755883,0.010980065980412679]	5.0411911866995182e-03	[-0.06534563179091807,0.025506425535755883,0.010980065980412679]
1	5.0411911866995182e-03	[-0.06534563179091807,0.025506425535755883,0.010980065980412679]	2.1837639083226658e-03	[0.04477681458643944,0.013025981141337739,-0.00302069513850765]
1	2.1837639083226658e-03	[0.04477681458643944,0.013025981141337739,-0.00302069513850765]	2.1837639083226658e-03	[0.04477681458643944,0.013025981141337739,-0.00302069513850765]
1	2.1837639083226658e-03	[0.04477681458643944,0.013025981141337739,-0.00302069513850765]	2.1837639083226658e-03	[0.04477681458643944,0.013025981141337739,-0.00302069513850765]
1	2.1837639083226658e-03	[0.04477681458643944,0.013025981141337739,-0.00302069513850765]	2.1837639083226658e-03	[0.04477681458643944,0.013025981141337739,-0.00302069513850765]
1	2.1837639083226658e-03	[0.04477681458643944,0.013025981141337739,-0.00302069513850765]	9.9998095701344714e-04	[0.019824650791425435,0.013025981141337739,-0.020911432120182386]
1	9.9998095701344714e-04	[0.019824650791425435,0.013025981141337739,-0.020911432120182386]	9.9998095701344714e-04	[0.019824650791425435,0.013025981141337739,-0.020911432120182386]
1	9.9998095701344714e-04	[0.019824650791425435,0.013025981141337739,-0.020911432120182386]	8.7940777470825969e-04	[0.0034158371431912667,0.013059361914946804,0.02640441057274128]
1	8.7940777470825969e-04	[0.0034158371431912667,0.013059361914946804,0.02640441057274128]	8.7940777470825969e-04	[0.0034158371431912667,0.013059361914946804,0.02640441057274128]
1	8.7940777470825969e-04	[0.0034158371431912667,0.013059361914946804,0.02640441057274128]	5.5361719434915131e-04	[-0.004482355801774975,0.0023272010034545987,-0.022980640032535332]
1	5.5361719434915131e-04	[-0.004482355801774975,0.0023272010034545987,-0.022980640032535332]	1.9035371185955867e-04	[0.011308667165606067,0.007346337672840519,-0.0029153184377878998]
1	1.9035371185955867e-04	[0.011308667165606067,0.007346337672840519,-0.0029153184377878998]	1.9035371185955867e-04	[0.011308667165606067,0.007346337672840519,-0.0029153184377878998]
1	1.9035371185955867e-04	[0.011308667165606067,0.007346337672840519,-0.0029153184377878998]	1.6329288899453984e-04	[0.0027503406412981105,-0.0003930780387927553,0.012472930890804397]
1	1.6329288899453984e-04	[0.0027503406412981105,-0.0003930780387927553,0.012472930890804397]	3.5769077641657639e-05	[-0.0009889527858260479,0.002609300122649108,0.005289858495178098]
1	3.5769077641657639e-05	[-0.0009889527858260479,0.002609300122649108,0.005289858495178098]	3.5769077641657639e-05	[-0.0009889527858260479,0.002609300122649108,0.005289858495178098]
1	3.5769077641657639e-05	[-0.0009889527858260479,0.002609300122649108,0.005289858495178098]	3.5769077641657639e-05	[-0.0009889527858260479,0.002609300122649108,0.005289858495178098]
1	3.5769077641657639e-05	[-0.0009889527858260479,0.002609300122649108,0.005289858495178098]	3.5769077641657639e-05	[-0.0009889527858260479,0.002609300122649108,0.005289858495178098]
1	3.5769077641657639e-05	[-0.0009889527858260479,0.002609300122649108,0.005289858495178098]	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]
1	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]
1	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]
1	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]
1	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]
1	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]
1	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]
1	8.8915913107231406e-06	[0.002964773493441132,-0.00026570637299641424,-0.00017637904257903313]	3.8211893837720799e-06	[0.001244881060292069,0.0010999962577345384,-0.0010302760612904602]
1	3.8211893837720799e-06	[0.001244881060292069,0.0010999962577345384,-0.0010302760612904602]	2.5788383718313926e-06	[-0.0011838818210226337,3.151373177666568e-06,-0.0010850125688353202]
1	2.5788383718313926e-06	[-0.0011838818210226337,3.151373177666568e-06,-0.0010850125688353202]	2.5788383718313926e-06	[-0.0011838818210226337,3.151373177666568e-06,-0.0010850125688353202]
1	2.5788383718313926e-06	[-0.0011838818210226337,3.151373177666568e-06,-0.0010850125688353202]	2.5788383718313926e-06	[-0.0011838818210226337,3.151373177666568e-06,-0.0010850125688353202]
1	2.5788383718313926e-06	[-0.0011838818210226337,3.151373177666568e-06,-0.0010850125688353202]	9.8929560927850004e-07	[-0.0005932804862816747,-0.0007880525264089416,-0.000127620881897767]
1	9.8929560927850004e-07	[-0.0005932804862816747,-0.0007880525264089416,-0.000127620881897767]	9.8929560927850004e-07	[-0.0005932804862816747,-0.0007880525264089416,-0.000127620881897767]
1	9.8929560927850004e-07	[-0.0005932804862816747,-0.0007880525264089416,-0.000127620881897767]	2.2004559646873056e-07	[4.811220993889819e-05,0.0004472453151070565,0.0001330505161144281]
1	2.2004559646873056e-07	[4.811220993889819e-05,0.0004472453151070565,0.0001330505161144281]	2.2004559646873056e-07	[4.811220993889819e-05,0.0004472453151070565,0.0001330505161144281]
