Run	Fitness1	Solution1	Fitness2	Solution2
1	1.6687551817477714e+02	[10.024462234712377,2.3763973549705497,-7.7934851440733155]	1.6687551817477714e+02	[10.024462234712377,2.3763973549705497,-7.7934851440733155]
1	1.6687551817477714e+02	[10.024462234712377,2.3763973549705497,-7.7934851440733155]	1.6687551817477714e+02	[10.024462234712377,2.3763973549705497,-7.7934851440733155]
1	1.6687551817477714e+02	[10.024462234712377,2.3763973549705497,-7.7934851440733155]	1.1969487720670821e+02	[8.634121285684476,2.428929726848069,-6.264752765499388]
1	1.1969487720670821e+02	[8.634121285684476,2.428929726848069,-6.264752765499388]	5.2247364865199941e+01	[4.816975903408412,-4.487172156062554,2.9848608096592333]
1	5.2247364865199941e+01	[4.816975903408412,-4.487172156062554,2.9848608096592333]	4.1005414329254016e+01	[0.5674206365448029,-5.614521405156874,-3.0266479051109307]
1	4.1005414329254016e+01	[0.5674206365448029,-5.614521405156874,-3.0266479051109307]	5.1853630489293732e+00	[-0.0330016905362438,-0.35439545174232734,2.2491504620935157]
1	5.1853630489293732e+00	[-0.0330016905362438,-0.35439545174232734,2.2491504620935157]	5.1853630489293732e+00	[-0.0330016905362438,-0.35439545174232734,2.2491504620935157]
1	5.1853630489293732e+00	[-0.0330016905362438,-0.35439545174232734,2.2491504620935157]	5.1853630489293732e+00	[-0.0330016905362438,-0.35439545174232734,2.2491504620935157]
1	5.1853630489293732e+00	[-0.0330016905362438,-0.35439545174232734,2.2491504620935157]	4.1994313307006470e+00	[-1.2860523380155469,1.482099592194651,0.5906619281804453]
1	4.1994313307006470e+00	[-1.2860523380155469,1.482099592194651,0.5906619281804453]	1.3164154712339331e+00	[-0.02863123353248409,-0.5827118540902259,-0.9879486923940295]
1	1.3164154712339331e+00	[-0.02863123353248409,-0.5827118540902259,-0.9879486923940295]	1.3164154712339331e+00	[-0.02863123353248409,-0.5827118540902259,-0.9879486923940295]
1	1.3164154712339331e+00	[-0.02863123353248409,-0.5827118540902259,-0.9879486923940295]	1.3164154712339331e+00	[-0.02863123353248409,-0.5827118540902259,-0.9879486923940295]
