Run	Fitness1	Solution1	Fitness2	Solution2
1	2.9299400860277904e+00	[58.41355115863456,49.63616750354394,59.30541382885847]	2.1592061289941364e-01	[48.73074865659373,51.8670684835774,52.6934718468183]
1	2.1592061289941364e-01	[48.73074865659373,51.8670684835774,52.6934718468183]	1.7896166861170439e+00	[48.32517032647315,46.63849379121157,44.70055709995151]
1	1.7896166861170439e+00	[48.32517032647315,46.63849379121157,44.70055709995151]	5.1563682468832965e+00	[57.42767526901874,52.78384959895848,64.23294080012703]
1	5.1563682468832965e+00	[57.42767526901874,52.78384959895848,64.23294080012703]	1.3587897906882003e+00	[58.0709110764076,49.878460308682456,53.84059924632332]
1	1.3587897906882003e+00	[58.0709110764076,49.878460308682456,53.84059924632332]	2.8219490275373516e-01	[52.38468525556615,53.202767533967325,53.77270882063724]
1	2.8219490275373516e-01	[52.38468525556615,53.202767533967325,53.77270882063724]	5.7971805111456398e-01	[53.47328918638791,46.991041695049695,51.949708742142356]
1	5.7971805111456398e-01	[53.47328918638791,46.991041695049695,51.949708742142356]	2.2140384794393437e+00	[59.15974315527212,46.237014978927746,52.71019009967161]
1	2.2140384794393437e+00	[59.15974315527212,46.237014978927746,52.71019009967161]	9.2709908617707570e-01	[55.48224497111642,47.24942799028899,49.3144190985994]
1	9.2709908617707570e-01	[55.48224497111642,47.24942799028899,49.3144190985994]	1.1903022590065659e+00	[51.36108974431254,45.12243369433368,54.534002888478526]
1	1.1903022590065659e+00	[51.36108974431254,45.12243369433368,54.534002888478526]	9.4059684418319667e-01	[55.044927874116645,52.89284606689242,46.657001865213985]
1	9.4059684418319667e-01	[55.044927874116645,52.89284606689242,46.657001865213985]	7.9766626110525141e-01	[47.39146809000315,47.60435357042368,53.31283356058317]
1	7.9766626110525141e-01	[47.39146809000315,47.60435357042368,53.31283356058317]	1.9446068064161934e+00	[53.203689112713484,57.61409041936302,45.36863013605182]
1	1.9446068064161934e+00	[53.203689112713484,57.61409041936302,45.36863013605182]	5.7922523390855951e-01	[46.73705980284747,49.46992474315962,51.45688506063212]
1	5.7922523390855951e-01	[46.73705980284747,49.46992474315962,51.45688506063212]	7.4298371274780797e-02	[50.92897752982951,50.63351925367632,49.6389210922981]
1	7.4298371274780797e-02	[50.92897752982951,50.63351925367632,49.6389210922981]	4.5427891273535508e+00	[39.25304737190308,48.6538464352477,45.44040946426587]
1	4.5427891273535508e+00	[39.25304737190308,48.6538464352477,45.44040946426587]	1.6611669517540470e-01	[52.40002299882276,53.42406013166818,52.09607163504424]
1	1.6611669517540470e-01	[52.40002299882276,53.42406013166818,52.09607163504424]	4.2093242875121323e-01	[49.25308305424002,49.48766171634606,48.07681523638749]
1	4.2093242875121323e-01	[49.25308305424002,49.48766171634606,48.07681523638749]	7.9860243951978827e-01	[48.69444180591762,54.3035929177177,47.174898520234045]
1	7.9860243951978827e-01	[48.69444180591762,54.3035929177177,47.174898520234045]	1.9484814330777371e+00	[58.048065788734135,48.54692475207336,56.30055544017306]
1	1.9484814330777371e+00	[58.048065788734135,48.54692475207336,56.30055544017306]	2.3176915969532980e-01	[52.38403129745134,52.491985242041814,53.818040970739055]
2	2.0803060902404374e-01	[49.59220126008828,53.22980165247887,52.59577504777491]	6.4821869425121781e-01	[50.15943869292946,46.43173450006585,49.843463833590285]
2	6.4821869425121781e-01	[50.15943869292946,46.43173450006585,49.843463833590285]	9.8505289024201956e-02	[51.82117493244952,52.877760527446014,52.27573595913325]
2	9.8505289024201956e-02	[51.82117493244952,52.877760527446014,52.27573595913325]	5.8887294106246013e-01	[47.335357042682546,53.512528576358825,53.11827253961069]
2	5.8887294106246013e-01	[47.335357042682546,53.512528576358825,53.11827253961069]	2.4238782155855845e-01	[52.57646424316183,49.22725393779387,53.2558752677371]
2	2.4238782155855845e-01	[52.57646424316183,49.22725393779387,53.2558752677371]	1.8003640211032240e-01	[52.95752743628667,51.29219469933479,49.143446385819544]
2	1.8003640211032240e-01	[52.95752743628667,51.29219469933479,49.143446385819544]	3.5223685853775538e-01	[54.282474842612054,53.27504476664045,52.25323399580069]
2	3.5223685853775538e-01	[54.282474842612054,53.27504476664045,52.25323399580069]	1.7065109940938547e-01	[53.02407741210957,51.0484689039893,49.304116036669086]
2	1.7065109940938547e-01	[53.02407741210957,51.0484689039893,49.304116036669086]	1.2675964822501393e-01	[51.98713905752551,52.30623399568445,53.1241554806046]
2	1.2675964822501393e-01	[51.98713905752551,52.30623399568445,53.1241554806046]	7.7614459888465070e-01	[53.81689656050611,55.7642886621074,49.120425123410016]
2	7.7614459888465070e-01	[53.81689656050611,55.7642886621074,49.120425123410016]	5.9681354428992917e-01	[50.35091651623554,51.954192870651596,56.038223158411526]
2	5.9681354428992917e-01	[50.35091651623554,51.954192870651596,56.038223158411526]	7.2463029278626845e-01	[50.161354553097645,47.121264522572154,47.894701276199996]
2	7.2463029278626845e-01	[50.161354553097645,47.121264522572154,47.894701276199996]	4.4117080078027454e-01	[51.78101749047581,51.15445554337472,55.4484779690567]
2	4.4117080078027454e-01	[51.78101749047581,51.15445554337472,55.4484779690567]	1.0800978079333079e+00	[48.69378529372234,46.04793313750029,54.45761176501979]
2	1.0800978079333079e+00	[48.69378529372234,46.04793313750029,54.45761176501979]	6.9379104011309212e-01	[51.08288900822675,46.42003116338009,53.452214515250645]
2	6.9379104011309212e-01	[51.08288900822675,46.42003116338009,53.452214515250645]	3.7224028316684216e-01	[54.94738103949412,50.04816158352757,51.10732780199954]
2	3.7224028316684216e-01	[54.94738103949412,50.04816158352757,51.10732780199954]	1.0912063182777550e-01	[52.1821056765921,51.95566239979127,53.0080631855574]
2	1.0912063182777550e-01	[52.1821056765921,51.95566239979127,53.0080631855574]	4.8118219253845562e-01	[54.35899849860029,48.115007770635025,50.97632126290814]
2	4.8118219253845562e-01	[54.35899849860029,48.115007770635025,50.97632126290814]	2.5235726845781126e-01	[53.680597824216626,53.21804224051842,50.55399385301884]
2	2.5235726845781126e-01	[53.680597824216626,53.21804224051842,50.55399385301884]	6.0339299211044273e-01	[52.0453449363176,48.57943209592351,55.342316542906275]
2	6.0339299211044273e-01	[52.0453449363176,48.57943209592351,55.342316542906275]	4.7076911533110988e-01	[54.12784212556057,54.10963376815181,49.61834214840666]
3	4.2106974321488681e-02	[52.21278265323027,50.34090300832004,51.31762068624312]	8.5413220750952146e-01	[46.330382014161025,51.23757080466767,48.00390569669499]
3	8.5413220750952146e-01	[46.330382014161025,51.23757080466767,48.00390569669499]	1.3898315319838708e+00	[54.97936519112276,57.68830112020319,50.245024236548204]
3	1.3898315319838708e+00	[54.97936519112276,57.68830112020319,50.245024236548204]	3.3376229806896429e-01	[52.99785209562334,54.24705615871127,50.0126965093267]
3	3.3376229806896429e-01	[52.99785209562334,54.24705615871127,50.0126965093267]	6.1606781888506068e-01	[54.90643852785642,54.43420395894435,52.46821348679106]
3	6.1606781888506068e-01	[54.90643852785642,54.43420395894435,52.46821348679106]	9.8592100257855586e-01	[53.88402594461952,56.828765477671105,49.85716125420377]
3	9.8592100257855586e-01	[53.88402594461952,56.828765477671105,49.85716125420377]	4.7249154288893896e-01	[51.45561864837448,48.81009319650385,54.88475738968327]
3	4.7249154288893896e-01	[51.45561864837448,48.81009319650385,54.88475738968327]	5.7436634767921557e-01	[55.331366635774046,48.86322337196326,52.23862447973602]
3	5.7436634767921557e-01	[55.331366635774046,48.86322337196326,52.23862447973602]	9.9254708194279351e-01	[56.83697429775581,53.10174801164013,48.87595290204613]
3	9.9254708194279351e-01	[56.83697429775581,53.10174801164013,48.87595290204613]	1.4868728867691421e+00	[56.85274143072031,48.744896818306955,56.00887568802208]
3	1.4868728867691421e+00	[56.85274143072031,48.744896818306955,56.00887568802208]	3.4097626931153346e-01	[54.36039066737116,51.502332502382764,49.216551367237415]
3	3.4097626931153346e-01	[54.36039066737116,51.502332502382764,49.216551367237415]	1.0205000864163839e-01	[52.17814826475581,49.63285111805547,52.094043788925745]
3	1.0205000864163839e-01	[52.17814826475581,49.63285111805547,52.094043788925745]	1.5976973402283774e+00	[57.3677492519315,46.146390338724075,52.418924045967096]
3	1.5976973402283774e+00	[57.3677492519315,46.146390338724075,52.418924045967096]	8.3564892310167338e-01	[46.82688630952706,51.57546220494629,47.46599101479524]
3	8.3564892310167338e-01	[46.82688630952706,51.57546220494629,47.46599101479524]	1.0319352776185629e-01	[52.56379127548541,52.6711082698792,51.936604968572766]
3	1.0319352776185629e-01	[52.56379127548541,52.6711082698792,51.936604968572766]	1.8666852798701572e-01	[48.85215030398321,49.91869273806948,50.89943050889381]
3	1.8666852798701572e-01	[48.85215030398321,49.91869273806948,50.89943050889381]	1.9428030150229532e+00	[56.09449149618359,58.681122065329895,50.94748833956356]
3	1.9428030150229532e+00	[56.09449149618359,58.681122065329895,50.94748833956356]	2.2314156448252653e+00	[59.18929693826268,56.43712606626705,50.51035239703439]
3	2.2314156448252653e+00	[59.18929693826268,56.43712606626705,50.51035239703439]	1.1118952771067208e+00	[57.7469405514114,52.800100905671606,50.54704374771146]
3	1.1118952771067208e+00	[57.7469405514114,52.800100905671606,50.54704374771146]	5.5553360721878298e-01	[55.84098714637847,50.43119785337473,50.34492783164021]
3	5.5553360721878298e-01	[55.84098714637847,50.43119785337473,50.34492783164021]	1.0182886262472597e+00	[56.12128548948998,54.77794107474885,53.51187999561397]
4	7.3230836268453614e-01	[52.53567361912992,46.698425144408,48.52663593950433]	1.3309604742205883e+00	[45.81896576458035,55.6619512518488,48.99374236663536]
4	1.3309604742205883e+00	[45.81896576458035,55.6619512518488,48.99374236663536]	7.5924513078886757e-01	[49.96073247822983,55.72983415177032,48.23118989009704]
4	7.5924513078886757e-01	[49.96073247822983,55.72983415177032,48.23118989009704]	1.7733132627626624e-01	[53.43776221584041,50.17500835598911,50.10915811258411]
4	1.7733132627626624e-01	[53.43776221584041,50.17500835598911,50.10915811258411]	2.3357324057517448e-01	[51.88763478030015,48.679693514272316,49.65902565490769]
4	2.3357324057517448e-01	[51.88763478030015,48.679693514272316,49.65902565490769]	2.4551224329441498e-01	[50.43101089828445,54.11089757374069,52.315675529302766]
4	2.4551224329441498e-01	[50.43101089828445,54.11089757374069,52.315675529302766]	9.5898377394226642e-01	[45.65469098401407,48.58643808591318,52.01598209572021]
4	9.5898377394226642e-01	[45.65469098401407,48.58643808591318,52.01598209572021]	3.1134685908921389e-01	[52.03896651741771,50.655067411778575,54.66790823615577]
4	3.1134685908921389e-01	[52.03896651741771,50.655067411778575,54.66790823615577]	1.6299880819851742e+00	[43.20000393682698,50.70673069970149,50.19224975882338]
4	1.6299880819851742e+00	[43.20000393682698,50.70673069970149,50.19224975882338]	7.0498820408178042e-01	[48.44436380109316,48.29987645126417,47.768350163449185]
4	7.0498820408178042e-01	[48.44436380109316,48.29987645126417,47.768350163449185]	3.2056061407863873e-01	[51.58018755345848,54.431833075044096,49.57395391899737]
4	3.2056061407863873e-01	[51.58018755345848,54.431833075044096,49.57395391899737]	1.5913009462870631e-01	[53.663814663614744,50.45521724867824,51.44148072090417]
4	1.5913009462870631e-01	[53.663814663614744,50.45521724867824,51.44148072090417]	1.3386261898854077e+00	[54.72414110212315,57.74690202278189,51.15194316107245]
4	1.3386261898854077e+00	[54.72414110212315,57.74690202278189,51.15194316107245]	4.1106991639097112e-01	[48.08384947912771,49.162684297678275,49.70713396001682]
4	4.1106991639097112e-01	[48.08384947912771,49.162684297678275,49.70713396001682]	2.7461813545346309e-01	[53.39668627136999,52.60956743795332,49.07630046735128]
4	2.7461813545346309e-01	[53.39668627136999,52.60956743795332,49.07630046735128]	4.5105914737008779e-01	[51.786606492041905,55.27918769786166,49.9064818207019]
4	4.5105914737008779e-01	[51.786606492041905,55.27918769786166,49.9064818207019]	3.3237781367326513e-01	[50.72492079731671,54.03184672620698,53.59340900601419]
4	3.3237781367326513e-01	[50.72492079731671,54.03184672620698,53.59340900601419]	4.0560455818225633e-01	[55.2492332637979,51.18140198128069,51.94085483627119]
4	4.0560455818225633e-01	[55.2492332637979,51.18140198128069,51.94085483627119]	2.9324884211070062e-01	[51.674336816604665,48.24947882251611,49.58100927251943]
4	2.9324884211070062e-01	[51.674336816604665,48.24947882251611,49.58100927251943]	8.6972423917723118e-01	[46.12959202806892,52.67777212096427,48.584486053714755]
4	8.6972423917723118e-01	[46.12959202806892,52.67777212096427,48.584486053714755]	6.1193587090422163e-01	[55.91100138608087,50.823651447329716,49.532543340984965]
5	8.9189147682778547e-01	[53.882237193054145,46.18157423463306,49.34416782004228]	2.8134662459162740e-01	[50.096931487951466,54.42960062959227,51.35315739271153]
5	2.8134662459162740e-01	[50.096931487951466,54.42960062959227,51.35315739271153]	2.3580594032441515e-01	[51.70708755765317,52.18777085482534,48.328490284159464]
5	2.3580594032441515e-01	[51.70708755765317,52.18777085482534,48.328490284159464]	5.1466361028782681e-01	[51.813032429799726,50.1030274382725,55.639903928297045]
5	5.1466361028782681e-01	[51.813032429799726,50.1030274382725,55.639903928297045]	3.2669579160769180e-01	[53.59345697270582,53.92882045598679,52.02516017736413]
5	3.2669579160769180e-01	[53.59345697270582,53.92882045598679,52.02516017736413]	8.5813473886655378e-01	[50.07946645728846,45.83407482665246,53.294355803875945]
5	8.5813473886655378e-01	[50.07946645728846,45.83407482665246,53.294355803875945]	2.2184020554849659e-01	[50.02647136411514,52.59110521892305,48.848792111606535]
5	2.2184020554849659e-01	[50.02647136411514,52.59110521892305,48.848792111606535]	1.0148662325208430e-01	[52.621851509764895,51.17814005719484,52.75470106833695]
5	1.0148662325208430e-01	[52.621851509764895,51.17814005719484,52.75470106833695]	6.6071632025347982e-01	[50.91933670841585,48.34756829745331,55.52898415808118]
5	6.6071632025347982e-01	[50.91933670841585,48.34756829745331,55.52898415808118]	1.5799410287446913e-01	[51.61041598100575,53.63942851371252,50.46986814859496]
5	1.5799410287446913e-01	[51.61041598100575,53.63942851371252,50.46986814859496]	8.5483268939295587e-02	[49.94411443562015,49.96902306368221,50.81554092833251]
